station_id,station_name,city,frequency,listed_files,first_year,last_year,status
site_5999,"15th Mile-Nongthymmai, Byrnihat - Meghalaya PCB",Byrnihat,8H,1,2025,2025,success
site_5491,"Sector 22, Chandigarh - CPCC",Chandigarh,8H,9,2017,2025,success
site_5127,"Sector-25, Chandigarh - CPCC",Chandigarh,8H,9,2017,2025,success
site_5582,"Sector-53, Chandigarh - CPCC",Chandigarh,8H,9,2017,2025,success
site_271,"Chauhan Colony, Chandrapur - MPCB",Chandrapur,8H,4,2017,2025,success
site_5545,"Darshan Nagar, Chhapra - BSPCB",Chapra,8H,9,2017,2025,success
site_5339,"Mini Secretariat, Charkhi Dadri - HSPCB",Charkhi Dadri,8H,9,2017,2025,success
site_5659,"Hathkhoj, Bhilai - CECB",Charoda,8H,9,2017,2025,success
site_5556,"Eco Herbal Park, Moradabad - UPPCB",Chaudharpur,8H,9,2017,2025,success
site_5361,"Arumbakkam, Chennai - TNPCB",Chennai,8H,9,2017,2025,success
site_5365,"Kodungaiyur, Chennai - TNPCB",Chennai,8H,9,2017,2025,success
site_5092,"Manali Village, Chennai - TNPCB",Chennai,8H,9,2017,2025,success
site_5363,"Perungudi, Chennai - TNPCB",Chennai,8H,9,2017,2025,success
site_5364,"Royapuram, Chennai - TNPCB",Chennai,8H,9,2017,2025,success
site_288,"Velachery Res. Area, Chennai - CPCB",Chennai,8H,15,2011,2025,success
site_5788,"MIDC Chilkalthana, Aurangabad - MPCB",Chhatrapati Sambhajinagar,8H,4,2017,2025,success
site_5789,"Rachnakar Colony, Aurangabad - MPCB",Chhatrapati Sambhajinagar,8H,4,2017,2025,success
site_295,"MIDC Khutala, Chandrapur - MPCB",Chichala,8H,10,2016,2025,success
site_1557,"Chikkaballapur Rural, Chikkaballapur - KSPCB",Chikkaballapur,8H,9,2017,2025,success
site_5265,"Kalyana Nagara, Chikkamagaluru - KSPCB",Chikkamagaluru,8H,9,2017,2025,success
site_5665,"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,8H,9,2017,2025,success
site_5712,"Shastri Nagar, Chittorgarh - RSPCB",Chittorgarh,8H,4,2017,2025,success
site_5699,"Subash Chowk, Churu - RSPCB",Churu,8H,4,2017,2025,success
site_5623,"PSG College of Arts and Science, Coimbatore - TNPCB",Coimbatore,8H,9,2017,2025,success
site_5094,"SIDCO Kurichi, Coimbatore - TNPCB",Coimbatore,8H,9,2017,2025,success
site_5941,"CDA Area, Cuttack - OSPCB",Cuttack,8H,3,2023,2025,success
site_5040,"Shrivastav Colony, Damoh - MPPCB",Damoh,8H,9,2017,2025,success
site_5477,"Town Hall - Lal Bagh, Darbhanga - BSPCB",Darbhanga,8H,9,2017,2025,success
site_5713,"Khatikan Mohalla, Dausa - RSPCB",Dausa,8H,4,2017,2025,success
site_5422,"Devaraj Urs Badavane, Davanagere - KSPCB",Davangere,8H,9,2017,2025,success
site_5594,"Doon University, Dehradun - UKPCB",Dehradun,8H,9,2017,2025,success
site_5024,"Alipur, Delhi - DPCC",Delhi,8H,9,2017,2025,success
site_301,"Anand Vihar, Delhi - DPCC",Delhi,8H,15,2011,2025,success
site_1420,"Ashok Vihar, Delhi - DPCC",Delhi,8H,9,2017,2025,success
site_1560,"Bawana, Delhi - DPCC",Delhi,8H,9,2017,2025,success
site_104,"Burari Crossing, Delhi - IITM",Delhi,8H,9,2017,2025,success
site_5393,"Chandni Chowk, Delhi - IITM",Delhi,8H,9,2017,2025,success
site_1422,"Dwarka-Sector 8, Delhi - DPCC",Delhi,8H,0,,,success
site_1423,"Jahangirpuri, Delhi - DPCC",Delhi,8H,9,2017,2025,success
site_6077,"NSUT Jaffarpur, Delhi - DPCC",Delhi,8H,1,2025,2025,success
site_1427,"Najafgarh, Delhi - DPCC",Delhi,8H,9,2017,2025,success
site_1426,"Narela, Delhi - DPCC",Delhi,8H,9,2017,2025,success
site_1431,"Patparganj, Delhi - DPCC",Delhi,8H,9,2017,2025,success
site_125,"Punjabi Bagh, Delhi - DPCC",Delhi,8H,15,2011,2025,success
site_1563,"Pusa, Delhi - DPCC",Delhi,8H,9,2017,2025,success
site_1430,"Rohini, Delhi - DPCC",Delhi,8H,9,2017,2025,success
site_1434,"Wazirpur, Delhi - DPCC",Delhi,8H,9,2017,2025,success
site_1404,"Bhopal Chauraha, Dewas - MPPCB",Dewas,8H,9,2017,2025,success
site_6094,"Pali Dungra, Mathura - UPPCB",Dhakpura,8H,0,,,success
site_5827,"Kalakusuma, Dhanbad - DMC",Dhanbad,8H,4,2017,2025,success
site_5710,"Sardar Patel Nagar, Dhanbad - JSPCB",Dhanbad,8H,4,2017,2025,success
site_5044,"Municipal Corporation Office, Dharuhera -  HSPCB",Dharuhera,8H,9,2017,2025,success
site_5718,"Dhoinda, Rajsamand - RSPCB",Dhoinda,8H,4,2017,2025,success
site_5700,"Raja Ganj, Dholpur - RSPCB",Dholpur,8H,4,2017,2025,success
site_5801,"Deopur, Dhule - MPCB",Dhule,8H,4,2017,2025,success
site_5608,"Mendonsa Colony, Dindigul - TNPCB",Dindigul,8H,9,2017,2025,success
site_5250,"Gole Bazar, Katni - MPPCB",Diwari,8H,9,2017,2025,success
site_5850,"Bhoiwada, Dungarpur - RSPCB",Dungarpur,8H,3,2023,2025,success
site_6008,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",Durgapur,8H,2,2024,2025,success
site_5983,"PCBL Residential Complex, Durgapur - WBPCB",Durgapur,8H,2,2024,2025,success
site_299,"Womens College_City Center, Durgapur - WBPCB",Durgapur,8H,1,2025,2025,success
site_6086,"District Court, Eluru - APPCB",Eluru,8H,1,2025,2025,success
site_5618,"Gandhi Nagar_Ennore, Chennai - TNPCB",Ennore,8H,9,2017,2025,success
site_5105,"Udyogamandal, Eloor - Kerala PCB",Ernakulam,8H,9,2017,2025,success
site_5270,"Vyttila, Kochi - Kerala PCB",Ernakulam,8H,9,2017,2025,success
site_5128,"Gomti Nagar, Lucknow - UPPCB",Ext,8H,9,2017,2025,success
site_5060,"Nathu Colony, Ballabgarh - HSPCB",Faridabad,8H,9,2017,2025,success
site_5340,"New Industrial Town, Faridabad - HSPCB",Faridabad,8H,9,2017,2025,success
site_5342,"Sector 11, Faridabad - HSPCB",Faridabad,8H,9,2017,2025,success
site_5341,"Sector 30, Faridabad - HSPCB",Faridabad,8H,9,2017,2025,success
